Title,Price,Area,Category,Size,Bedrooms,Bathrooms
"M-City Jalan Ampang, KL",380000,AMPANG,Apartments,678 sq.ft.,1 Bedroom,1 Bathroom
Below Market 37% | Astoria Ampang 747sf,441000,AMPANG,Apartments,747 sq.ft.,3 Bedrooms,2 Bathrooms
[BELOW MARKET] RIVERRA AMPANG KL CHERAS GROUND FLOOR + Corner Unit,323000,AMPANG,Apartments,958 sq.ft.,3 Bedrooms,2 Bathrooms
Below Market 29% | Duplex M City Jalan Ampang 1018sf Freehold,534000,AMPANG,Apartments,1018 sq.ft.,2 Bedrooms,2 Bathrooms
Suria Jelatek Residece UNTUK Jual Fully Renovation Below Market 20%,490000,AMPANG,Apartments,1098 sq.ft.,3 Bedrooms,2 Bathrooms
M City Jalan Ampang Lake View [BELOW MARKET VALUE],560000,AMPANG,Apartments,781 sq.ft.,1 Bedroom,1 Bathroom
"Spring Ville Apartment, Ukay Perdana, Ampang, Gd Condition",218000,AMPANG,Apartments,728 sq.ft.,3 Bedrooms,2 Bathrooms
Ampang Apartment Permai Puteri NEGOTIABLE+BELOW MV+NEAR LRT,275000,AMPANG,Apartments,833 sq.ft.,3 Bedrooms,2 Bathrooms
The Elements Ampang For Sale Below Market Value Genting View,680000,AMPANG,Apartments,1065 sq.ft.,2 Bedrooms,2 Bathrooms
The Elements Ampang For Sale Below Market Value 100% Full Loan,430000,AMPANG,Apartments,705 sq.ft.,1 Bedroom,1 Bathroom
Sale Axis residence axis Pandan condo 3r 2b near Lrt Pandan Indah,430000,AMPANG,Apartments,1000 sq.ft.,3 Bedrooms,2 Bathrooms
The Elements Ampang For Sale Below Market Value,740000,AMPANG,Apartments,1570 sq.ft.,4 Bedrooms,3 Bathrooms
[950sft] South View One Ampang Avenue High Floor Partly Furnished,350000,AMPANG,Apartments,950 sq.ft.,3 Bedrooms,2 Bathrooms
"First RM2XXk in KLCC Area,extra early bird package 3min to LRT",200000,AMPANG,Apartments,320 sq.ft.,1 Bedroom,1 Bathroom
Modern Condo Greenery RM 1200 - Ampang,399000,AMPANG,Apartments,1360 sq.ft.,4 Bedrooms,3 Bathrooms
"[NEAR AMPANG POINT] Ampang Boulevard Condominium, Kuala Lumpur",330000,AMPANG,Apartments,888 sq.ft.,3 Bedrooms,2 Bathrooms
"Ampang : Apartment Taman Cahaya [FREE AIRCONDS, MEDIUM COST MURAH]",250000,AMPANG,Apartments,950 sq.ft.,3 Bedrooms,2 Bathrooms
Sri angsana hilir condominium desa pandan ampang hilir kuala lumpur,298000,AMPANG,Apartments,1349 sq.ft.,3 Bedrooms,2 Bathrooms
M City Jalan Ampang Lake View unit [BELOW MARKET VALUE],680000,AMPANG,Apartments,888 sq.ft.,2 Bedrooms,2 Bathrooms
The Elements Ampang For Sale Below Market Value,440000,AMPANG,Apartments,705 sq.ft.,1 Bedroom,1 Bathroom
M City Jalan Ampang Below Market Value BEST DEAL,660000,AMPANG,Apartments,1066 sq.ft.,2 Bedrooms,2 Bathrooms
BELOW PRICE | GCB Court Condo | 1925sqft | RENO | 100% FULL LOAN,620000,AMPANG,Apartments,1925 sq.ft.,4 Bedrooms,3 Bathrooms
The Elements Ampang Service Residence Condominium,870000,AMPANG,Apartments,1432 sq.ft.,3 Bedrooms,3 Bathrooms
Paling Murah Menara Polo Ampang Hilir for Sale Big Unit 1485 SQFT,490000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
(NON BUMI) Sri Angsana Hilir Condo Ampang Hilir [1349sqft],298000,AMPANG,Apartments,1349 sq.ft.,3 Bedrooms,2 Bathrooms
Nuri Court Apartment Padan Indah Ampang Below Market Price,310000,AMPANG,Apartments,850 sq.ft.,3 Bedrooms,2 Bathrooms
"Ampang, Mutiara Merdeka Condo",620888,AMPANG,Apartments,1390 sq.ft.,4 Bedrooms,3 Bathrooms
"Nego - menara polo with nice polo club view, furnished",500000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
