area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,property_url,purpose,city,locality,address,id,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,division,zone,price_per_sqft
1300.0,Apartment,Residential,3.0,3.0,6500000.0,https://www.bproperty.com/en/property/details-2005261.html,Sale,Dhaka,Mirpur,Unknown,bproperty-8300,1,1,2,3,3,3,3,Dhaka,Mirpur,5000.0
650.0,Apartment,Residential,2.0,2.0,4500000.0,https://www.bproperty.com/en/property/details-1997531.html,Sale,Dhaka,Mohammadpur,Unknown,bproperty-8301,4,1,2,1,3,3,4,Dhaka,Mohammadpur,6923.076923076923
1300.0,Apartment,Residential,3.0,3.0,6500000.0,https://www.bproperty.com/en/property/details-2005266.html,Sale,Dhaka,Mirpur,Unknown,bproperty-8302,1,2,2,1,3,3,3,Dhaka,Mirpur,5000.0
1300.0,Apartment,Residential,3.0,3.0,6500000.0,https://www.bproperty.com/en/property/details-2005267.html,Sale,Dhaka,Mirpur,Unknown,bproperty-8304,2,2,2,2,3,1,3,Dhaka,Mirpur,5000.0
1300.0,Apartment,Residential,3.0,3.0,6500000.0,https://www.bproperty.com/en/property/details-2005265.html,Sale,Dhaka,Mirpur,Unknown,bproperty-8305,1,1,2,1,3,2,3,Dhaka,Mirpur,5000.0
1280.0,Apartment,Residential,3.0,3.0,6500000.0,https://www.bproperty.com/en/property/details-2006062.html,Sale,Dhaka,Mohammadpur,"Abdur Rafique Housing Society, Shekhertek",bproperty-8306,1,1,2,1,3,3,5,Dhaka,Mohammadpur,5078.125
1220.0,Apartment,Residential,3.0,3.0,6709999.999999999,https://www.bproperty.com/en/property/details-2004779.html,Sale,Dhaka,Rampura,"East Hazipara, East Rampura",bproperty-8307,1,1,1,1,3,2,3,Dhaka,Khilgaon,5499.999999999999
1275.0,Apartment,Residential,4.0,3.0,6000000.0,https://www.bproperty.com/en/property/details-2010859.html,Sale,Dhaka,Mirpur,Kallyanpur,bproperty-8308,1,1,1,1,3,2,3,Dhaka,Mirpur,4705.882352941177
1500.0,Apartment,Residential,3.0,3.0,9500000.0,https://www.bproperty.com/en/property/details-2011855.html,Sale,Dhaka,Bashundhara R-A,Block F,bproperty-8309,1,2,3,2,3,1,4,Dhaka,Bashundhara R/A,6333.333333333333
1600.0,Apartment,Residential,4.0,3.0,13000000.0,https://www.bproperty.com/en/property/details-2011498.html,Sale,Dhaka,Bashundhara R-A,Block A,bproperty-8310,1,1,2,3,4,2,4,Dhaka,Bashundhara R/A,8125.0
750.0,Apartment,Residential,2.0,2.0,3000000.0,https://www.bproperty.com/en/property/details-2010578.html,Sale,Dhaka,Taltola,Unknown,bproperty-8311,1,1,1,1,1,2,3,Dhaka,Khilgaon,4000.0
1850.0,Apartment,Residential,4.0,3.0,15000000.0,https://www.bproperty.com/en/property/details-2015118.html,Sale,Dhaka,Uttara,Sector 13,bproperty-8312,1,1,2,1,1,3,3,Dhaka,Uttara,8108.108108108108
1098.0,Apartment,Residential,2.0,3.0,4000000.0,https://www.bproperty.com/en/property/details-2012267.html,Sale,Dhaka,Mohammadpur,Green City Housing,bproperty-8313,4,2,2,1,4,3,4,Dhaka,Mohammadpur,3642.9872495446266
1098.0,Apartment,Residential,2.0,3.0,4000000.0,https://www.bproperty.com/en/property/details-2012266.html,Sale,Dhaka,Mohammadpur,Green City Housing,bproperty-8315,4,2,2,1,4,2,4,Dhaka,Mohammadpur,3642.9872495446266
1500.0,Apartment,Residential,4.0,3.0,12000000.0,https://www.bproperty.com/en/property/details-2001565.html,Sale,Dhaka,Mirpur,"Senpara Parbata, Section 10",bproperty-8317,1,2,2,1,3,3,4,Dhaka,Mirpur,8000.0
1645.0,Apartment,Residential,3.0,3.0,8500000.0,https://www.bproperty.com/en/property/details-1946848.html,Sale,Chattogram,Khulshi,South Khulshi,bproperty-8319,1,1,2,1,1,3,3,Chattogram,Chattogram City,5167.173252279636
